text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_latency,anthropic_latency,gemini_latency
Fears for T N pension after talks Unions represent,Business,Business,Business,Business,2.376300096511841,0.9624350070953369,1.0623769760131836
The Race is On: Second Private Team Sets Launch Da,Technology,World,Technology,Technology,0.5193300247192383,0.8114957809448242,0.5146670341491699
Ky. Company Wins Grant to Study Peptides (AP) AP -,Technology,Business,Technology,Technology,0.7021141052246094,0.7798478603363037,0.454118013381958
Prediction Unit Helps Forecast Wildfires (AP) AP -,Technology,Technology,World,World,0.48174595832824707,1.0901398658752441,1.1073389053344727
Calif. Aims to Limit Farm-Related Smog (AP) AP - S,Technology,World,Business,World,0.7074270248413086,0.7712740898132324,0.5318210124969482
Open Letter Against British Copyright Indoctrinati,Technology,Business,Business,World,0.6040101051330566,0.6817569732666016,0.7414109706878662
"Loosing the War on Terrorism \\""Sven Jaschan, self",Technology,Technology,Technology,Technology,0.5508100986480713,0.7529451847076416,0.4778480529785156
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Fi",Technology,Technology,Technology,Technology,0.9152109622955322,0.9154250621795654,2.827630043029785
E-mail scam targets police chief Wiltshire Police ,Technology,World,Technology,World,0.6541876792907715,0.716864824295044,0.9317080974578857
"Card fraud unit nets 36,000 cards In its first two",Technology,Business,Business,Business,0.8271739482879639,0.7732810974121094,0.46167993545532227
Group to Propose New High-Speed Wireless Format  L,Technology,Technology,Technology,Technology,0.6793129444122314,1.0987250804901123,0.8988630771636963
"Apple Launches Graphics Software, Video Bundle  LO",Technology,Technology,Technology,Technology,0.5999071598052979,0.8417809009552002,0.6664319038391113
Dutch Retailer Beats Apple to Local Download Marke,Technology,Business,Business,Business,0.7573020458221436,1.364654779434204,0.48066163063049316
Super ant colony hits Australia A giant 100km colo,Technology,World,World,World,0.6785259246826172,0.9039230346679688,0.5180301666259766
"Socialites unite dolphin groups Dolphin groups, or",Technology,World,World,World,0.5492408275604248,0.8890538215637207,0.48537492752075195
Teenage T. rex's monster growth Tyrannosaurus rex ,Technology,World,World,World,0.7450942993164062,3.84295392036438,0.5875749588012695
Scientists Discover Ganymede has a Lumpy Interior ,Technology,World,Technology,Technology,0.6255059242248535,1.503101110458374,0.46581411361694336
Mars Rovers Relay Images Through Mars Express Euro,Technology,Technology,Technology,Technology,0.5516290664672852,1.005713939666748,0.605241060256958
Rocking the Cradle of Life When did life begin? On,Technology,World,World,Technology,0.862982988357544,0.7825510501861572,0.45574402809143066
"Storage, servers bruise HP earnings update Earning",Technology,Business,Business,Business,0.7142012119293213,0.6876380443572998,0.6690559387207031
IBM to hire even more new workers By the end of th,Technology,Business,Business,Business,0.8556551933288574,0.8237571716308594,0.6364836692810059
Sun's Looking Glass Provides 3D View Developers ge,Technology,Technology,Technology,Technology,1.0341460704803467,0.7888000011444092,0.726672887802124
IBM Chips May Someday Heal Themselves New technolo,Technology,Technology,Technology,Technology,0.446458101272583,1.175826072692871,0.8703348636627197
Some People Not Eligible to Get in on Google IPO G,Technology,Business,Business,Business,0.6201870441436768,0.8096792697906494,0.7393190860748291
Rivals Try to Turn Tables on Charles Schwab By MIC,Technology,Business,Business,Business,0.85744309425354,1.2182128429412842,0.5624911785125732
News: Sluggish movement on power grid cyber securi,Technology,Technology,Technology,Technology,2.4852609634399414,0.9522769451141357,0.5509040355682373
Giddy Phelps Touches Gold for First Time Michael P,Sports,Sports,Sports,Sports,0.5048766136169434,1.096390962600708,0.6012821197509766
Tougher rules won't soften Law's game FOXBOROUGH -,Sports,Sports,Sports,Sports,0.6307032108306885,0.6983041763305664,0.3985319137573242
Shoppach doesn't appear ready to hit the next leve,Sports,Sports,Sports,Sports,0.7477829456329346,0.7165629863739014,1.1609740257263184
Mighty Ortiz makes sure Sox can rest easy Just ima,Sports,Sports,Sports,Sports,0.5418980121612549,1.2209949493408203,0.9590709209442139
They've caught his eye In  quot;helping themselves,Sports,Sports,Sports,Sports,0.5573971271514893,0.7670221328735352,0.5106790065765381
Indians Mount Charge The Cleveland Indians pulled ,Sports,Sports,Sports,Sports,0.6363711357116699,1.0028531551361084,1.0697948932647705
Sister of man who died in Vancouver police custody,World,World,World,World,0.7003240585327148,0.6894989013671875,0.7372159957885742
"Man Sought  #36;50M From McGreevey, Aides Say (AP)",World,World,World,World,1.0309879779815674,0.7638149261474609,0.7150866985321045
"Explosions Echo Throughout Najaf NAJAF, Iraq - Exp",World,World,World,World,0.6410150527954102,0.8317809104919434,0.3842768669128418
"Frail Pope Celebrates Mass at Lourdes LOURDES, Fra",World,World,World,World,0.5499677658081055,0.7713737487792969,0.5668821334838867
Venezuela Prepares for Chavez Recall Vote Supporte,World,World,World,World,0.5822961330413818,0.6527810096740723,0.5099887847900391
1994 Law Designed to Preserve Guard Jobs (AP) AP -,World,Business,World,World,0.6828708648681641,0.7409138679504395,0.3868992328643799
Iran Warns Its Missiles Can Hit Anywhere in Israel,World,World,World,World,0.4098842144012451,0.9227392673492432,0.45699405670166016
"Afghan Army Dispatched to Calm Violence KABUL, Afg",World,World,World,World,0.7776989936828613,0.9863553047180176,0.9257562160491943
Johnson Helps D-Backs End Nine-Game Slide (AP) AP ,Sports,Sports,Sports,Sports,0.6818981170654297,0.7871942520141602,0.7280762195587158
Retailers Vie for Back-To-School Buyers (Reuters) ,Business,Business,Business,Business,0.7598090171813965,0.8116719722747803,0.37035703659057617
Politics an Afterthought Amid Hurricane (AP) AP - ,World,World,World,World,0.42994093894958496,1.0249269008636475,0.43643903732299805
