text,true_label,openai_pred,anthropic_pred,gemini_pred,openai_latency,anthropic_latency,gemini_latency
Fears for T N pension after talks Unions represent,Business,Business,Business,Error,0.9866659641265869,1.873425006866455,0.5436527729034424
The Race is On: Second Private Team Sets Launch Da,Technology,Technology,Technology,Error,0.42657995223999023,0.7476708889007568,0.2342529296875
Ky. Company Wins Grant to Study Peptides (AP) AP -,Technology,Business,Technology,Error,0.603355884552002,1.0787310600280762,0.16269803047180176
Prediction Unit Helps Forecast Wildfires (AP) AP -,Technology,Technology,Technology,Error,0.679739236831665,0.8707599639892578,0.15780210494995117
Calif. Aims to Limit Farm-Related Smog (AP) AP - S,Technology,World,World,Error,0.736644983291626,0.7737152576446533,0.11366987228393555
Open Letter Against British Copyright Indoctrinati,Technology,World,Business,Error,7.380554914474487,1.1018040180206299,0.25409889221191406
"Loosing the War on Terrorism \\""Sven Jaschan, self",Technology,Technology,Technology,Error,0.6449778079986572,0.8023586273193359,0.23932385444641113
"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Fi",Technology,Technology,Technology,Error,0.5439589023590088,0.7806060314178467,0.07663583755493164
E-mail scam targets police chief Wiltshire Police ,Technology,World,Business,Error,0.7653160095214844,0.7118058204650879,0.13680505752563477
"Card fraud unit nets 36,000 cards In its first two",Technology,Business,Business,Error,0.7106058597564697,1.2344813346862793,0.11619400978088379
Group to Propose New High-Speed Wireless Format  L,Technology,Technology,Technology,Error,0.7683603763580322,0.7552011013031006,0.2588200569152832
"Apple Launches Graphics Software, Video Bundle  LO",Technology,Technology,Technology,Error,2.421143054962158,0.8666749000549316,0.07242703437805176
Dutch Retailer Beats Apple to Local Download Marke,Technology,Business,Business,Error,0.4925999641418457,0.6443450450897217,0.1000978946685791
Super ant colony hits Australia A giant 100km colo,Technology,World,World,Error,0.7381339073181152,1.0118188858032227,0.14275693893432617
"Socialites unite dolphin groups Dolphin groups, or",Technology,World,World,Error,0.9286279678344727,0.7285690307617188,0.24832487106323242
Teenage T. rex's monster growth Tyrannosaurus rex ,Technology,World,World,Error,0.6152870655059814,0.7333698272705078,0.09693312644958496
Scientists Discover Ganymede has a Lumpy Interior ,Technology,World,Technology,Error,0.6076819896697998,0.7892987728118896,0.1383979320526123
Mars Rovers Relay Images Through Mars Express Euro,Technology,Technology,Technology,Error,5.370147943496704,1.0905301570892334,0.3029208183288574
Rocking the Cradle of Life When did life begin? On,Technology,World,World,Error,0.5109059810638428,1.0009779930114746,0.14840197563171387
"Storage, servers bruise HP earnings update Earning",Technology,Business,Business,Error,1.138401985168457,0.7043740749359131,0.08586502075195312
IBM to hire even more new workers By the end of th,Technology,Business,Business,Error,0.5944790840148926,0.70467209815979,0.10321283340454102
Sun's Looking Glass Provides 3D View Developers ge,Technology,Technology,Technology,Error,0.6681699752807617,1.0149710178375244,0.3030390739440918
IBM Chips May Someday Heal Themselves New technolo,Technology,Technology,Technology,Error,0.47183704376220703,0.894108772277832,0.17273592948913574
Some People Not Eligible to Get in on Google IPO G,Technology,Business,Business,Error,3.727909803390503,1.110642910003662,0.5493812561035156
Rivals Try to Turn Tables on Charles Schwab By MIC,Technology,Business,Business,Error,2.030465841293335,0.8195178508758545,0.07725167274475098
News: Sluggish movement on power grid cyber securi,Technology,Technology,Technology,Error,2.034116744995117,0.7888989448547363,0.06779217720031738
Giddy Phelps Touches Gold for First Time Michael P,Sports,Sports,Sports,Error,0.5331683158874512,0.7687258720397949,0.07759690284729004
Tougher rules won't soften Law's game FOXBOROUGH -,Sports,Sports,Sports,Error,0.848330020904541,0.8163158893585205,0.11627769470214844
Shoppach doesn't appear ready to hit the next leve,Sports,Sports,Sports,Error,0.632230281829834,0.7360696792602539,0.14879274368286133
Mighty Ortiz makes sure Sox can rest easy Just ima,Sports,Sports,Sports,Error,0.8284502029418945,0.7560780048370361,0.07981109619140625
They've caught his eye In  quot;helping themselves,Sports,Sports,Sports,Error,0.6365633010864258,0.8221149444580078,0.15820693969726562
Indians Mount Charge The Cleveland Indians pulled ,Sports,Sports,Sports,Error,0.6023800373077393,0.7719888687133789,0.1275348663330078
Sister of man who died in Vancouver police custody,World,World,World,Error,1.0302629470825195,1.5139141082763672,0.11345410346984863
"Man Sought  #36;50M From McGreevey, Aides Say (AP)",World,World,World,Error,0.6658399105072021,0.8816890716552734,0.10517001152038574
"Explosions Echo Throughout Najaf NAJAF, Iraq - Exp",World,World,World,Error,0.6137189865112305,0.7227849960327148,0.2462007999420166
"Frail Pope Celebrates Mass at Lourdes LOURDES, Fra",World,World,World,Error,0.5013229846954346,0.8551506996154785,0.10685396194458008
Venezuela Prepares for Chavez Recall Vote Supporte,World,World,World,Error,0.5657298564910889,0.7138750553131104,0.13047504425048828
1994 Law Designed to Preserve Guard Jobs (AP) AP -,World,Business,World,Error,0.5386512279510498,0.7227230072021484,0.13347887992858887
Iran Warns Its Missiles Can Hit Anywhere in Israel,World,World,World,Error,0.6083669662475586,0.779853105545044,0.5698750019073486
